Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/RC,Player,Team
1 (c)(k),1,04/19/2008,1st,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,lbw b J R Hopes,2,3,66.67,2,2.0,66.67,Ms dhoni,CSK
2 (c)(k),2,04/23/2008,1st,5,Mumbai Indians,MA Chidambaram Stadium,c D J J Bravo b M Khote,30,16,187.5,32,16.0,168.42,Ms dhoni,CSK
3 (c)(k),3,04/26/2008,2nd,3,Kolkata Knight Riders,MA Chidambaram Stadium,not out,43*,27,159.26,75,37.5,163.04,Ms dhoni,CSK
4 (c)(k),4,04/28/2008,1st,5,Royal Challengers Bangalore,M Chinnaswamy Stadium,c sub b Z Khan,65,30,216.67,140,46.67,184.21,Ms dhoni,CSK
5 (c)(k),5,02/05/2008,1st,4,Delhi Capitals,MA Chidambaram Stadium,c Shoaib Malik b Mohammad Asif,32,27,118.52,172,43.0,166.99,Ms dhoni,CSK
6 (c)(k),6,04/05/2008,1st,6,Rajasthan Royals,Sawai Mansingh Stadium,c G C Smith b S K Warne,1,7,14.29,173,34.6,157.27,Ms dhoni,CSK
7 (c)(k),7,06/05/2008,1st,6,Deccan Chargers,MA Chidambaram Stadium,c Shahid Afridi b P P Ojha,23,31,74.19,196,32.67,139.01,Ms dhoni,CSK
8 (c)(k),8,08/05/2008,2nd,3,Delhi Capitals,Arun Jaitley Stadium,c A B de Villiers b V Y Mahesh,33,33,100,229,32.71,131.61,Ms dhoni,CSK
9 (c)(k),9,10/05/2008,1st,5,Punjab Kings,MA Chidambaram Stadium,not out,60*,43,139.53,289,41.29,133.18,Ms dhoni,CSK
10 (c)(k),10,05/14/2008,1st,6,Mumbai Indians,Wankhede Stadium,not out,43*,35,122.86,332,47.43,131.75,Ms dhoni,CSK
11 (c)(k),56,05/18/2008,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,0,332,47.43,131.75,Ms dhoni,CSK
12 (c),11,05/21/2008,2nd,3,Royal Challengers Bangalore,MA Chidambaram Stadium,c A Kumble b R Vinay Kumar,4,8,50,336,42.0,129.23,Ms dhoni,CSK
13 (c),12,05/24/2008,2nd,5,Rajasthan Royals,MA Chidambaram Stadium,c M Kaif b Sohail Tanvir,12,8,150,348,38.67,129.85,Ms dhoni,CSK
14 (c),13,05/27/2008,2nd,4,Deccan Chargers,Rajiv Gandhi International Stadium,c H H Gibbs b P P Ojha,37,25,148,385,38.5,131.4,Ms dhoni,CSK
15 (c),56,05/31/2008,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,0,385,38.5,131.4,Ms dhoni,CSK
16 (c),14,01/06/2008,1st,5,Rajasthan Royals,Dr DY Patil Sports Academy,not out,29*,17,170.59,414,41.4,133.55,Ms dhoni,CSK
17 (c),15,04/18/2009,2nd,5,Mumbai Indians,Newlands,b S L Malinga,36,26,138.46,450,40.91,133.93,Ms dhoni,CSK
18 (c)(k),16,04/20/2009,1st,4,Royal Challengers Bangalore,St George's Park,c R Bishnoi b P Kumar,16,14,114.29,466,38.83,133.14,Ms dhoni,CSK
19 (c)(k),17,04/23/2009,2nd,4,Delhi Capitals,Kingsmead,c †K D Karthik b D L Vettori,5,7,71.43,471,36.23,131.93,Ms dhoni,CSK
20 (c)(k),18,04/27/2009,1st,4,Deccan Chargers,Kingsmead,c Shoaib Ahmed b P P Ojha,22,22,100,493,35.21,130.08,Ms dhoni,CSK
21 (c)(k),19,04/30/2009,1st,6,Rajasthan Royals,Buffalo Park,not out,22*,19,115.79,515,36.79,129.4,Ms dhoni,CSK
22 (c)(k),20,02/05/2009,1st,6,Delhi Capitals,Wanderers Stadium,c G Gambhir b D P Nannes,6,7,85.71,521,34.73,128.64,Ms dhoni,CSK
23 (c)(k),21,04/05/2009,1st,3,Deccan Chargers,Buffalo Park,not out,58*,37,156.76,579,38.6,131,Ms dhoni,CSK
24 (c)(k),22,07/05/2009,1st,4,Punjab Kings,SuperSport Park,not out,56*,27,207.41,635,42.33,135.39,Ms dhoni,CSK
25 (c)(k),56,09/05/2009,2nd,-,Rajasthan Royals,Diamond Oval,did not bat,-,-,0,635,42.33,135.39,Ms dhoni,CSK
26 (c)(k),23,05/14/2009,1st,4,Royal Challengers Bangalore,Kingsmead,c & b R E van der Merwe,18,20,90,653,40.81,133.54,Ms dhoni,CSK
27 (c)(k),24,05/16/2009,2nd,5,Mumbai Indians,St George's Park,not out,23*,22,104.55,676,42.25,132.29,Ms dhoni,CSK
28 (c)(k),25,05/18/2009,1st,4,Kolkata Knight Riders,SuperSport Park,not out,40*,28,142.86,716,44.75,132.84,Ms dhoni,CSK
29 (c)(k),26,05/20/2009,1st,5,Punjab Kings,Kingsmead,b S Sreesanth,2,2,100,718,42.24,132.72,Ms dhoni,CSK
30 (c)(k),27,05/23/2009,1st,3,Royal Challengers Bangalore,Wanderers Stadium,c R Vinay Kumar b R E van der Merwe,28,30,93.33,746,41.44,130.65,Ms dhoni,CSK
31 (c)(k),28,03/14/2010,2nd,6,Deccan Chargers,MA Chidambaram Stadium,b A Symonds,42,29,144.83,788,41.47,131.33,Ms dhoni,CSK
32 (c)(k),29,03/16/2010,1st,5,Kolkata Knight Riders,Eden Gardens,not out,66*,33,200,854,44.95,134.91,Ms dhoni,CSK
33 (c)(k),56,03/25/2010,1st,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,0,854,44.95,134.91,Ms dhoni,CSK
34 (c)(k),30,03/28/2010,2nd,4,Rajasthan Royals,Narendra Modi Stadium,run out,21,19,110.53,875,43.75,134.2,Ms dhoni,CSK
35 (c)(k),31,03/31/2010,2nd,4,Royal Challengers Bangalore,MA Chidambaram Stadium,c R Dravid b D W Steyn,14,19,73.68,889,42.33,132.49,Ms dhoni,CSK
36 (c)(k),32,03/04/2010,1st,5,Rajasthan Royals,MA Chidambaram Stadium,c S Narwal b S R Watson,0,1,0,889,40.41,132.29,Ms dhoni,CSK
37 (c)(k),33,06/04/2010,1st,4,Mumbai Indians,MA Chidambaram Stadium,c & b K A Pollard,31,18,172.22,920,40.0,133.33,Ms dhoni,CSK
38 (c)(k),34,10/04/2010,1st,4,Deccan Chargers,Vidarbha Cricket Association Stadium,b P P Ojha,7,13,53.85,927,38.63,131.86,Ms dhoni,CSK
39 (c)(k),56,04/13/2010,2nd,-,Kolkata Knight Riders,MA Chidambaram Stadium,did not bat,-,-,0,927,38.63,131.86,Ms dhoni,CSK
40 (c)(k),35,04/15/2010,1st,3,Delhi Capitals,MA Chidambaram Stadium,c M Manhas b D P Nannes,0,2,0,927,37.08,131.49,Ms dhoni,CSK
41 (c)(k),36,04/18/2010,2nd,5,Punjab Kings,Himachal Pradesh Cricket Association Stadium,not out,54*,29,186.21,981,39.24,133.65,Ms dhoni,CSK
42 (c)(k),37,04/22/2010,1st,5,Deccan Chargers,Dr DY Patil Sports Academy,c R G Sharma b Harmeet Singh,30,32,93.75,1011,38.88,131.98,Ms dhoni,CSK
43 (c)(k),38,04/25/2010,1st,5,Mumbai Indians,Dr DY Patil Sports Academy,c C R D Fernando b Z Khan,22,15,146.67,1033,38.26,132.27,Ms dhoni,CSK
44 (c)(k),39,08/04/2011,1st,4,Kolkata Knight Riders,MA Chidambaram Stadium,c †M S Bisla b J H Kallis,29,21,138.1,1062,37.93,132.42,Ms dhoni,CSK
45 (c)(k),40,04/13/2011,1st,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b R J Harris,43,20,215,1105,38.1,134.43,Ms dhoni,CSK
46 (c)(k),41,04/16/2011,1st,4,Royal Challengers Bangalore,MA Chidambaram Stadium,c †A B de Villiers b Z Khan,22,16,137.5,1127,37.57,134.49,Ms dhoni,CSK
47 (c)(k),42,04/18/2011,1st,5,Kochi Tuskers Kerala,Nehru Stadium (Kochi),not out,14*,13,107.69,1141,38.03,134.08,Ms dhoni,CSK
48 (c)(k),43,04/22/2011,2nd,5,Mumbai Indians,Wankhede Stadium,c R G Sharma b K A Pollard,3,6,50,1144,36.9,133.49,Ms dhoni,CSK
49 (c)(k),44,04/25/2011,1st,4,Pune Warriors,MA Chidambaram Stadium,st R V Uthappa b R Sharma,26,21,123.81,1170,36.56,133.26,Ms dhoni,CSK
50 (c)(k),56,04/27/2011,2nd,-,Pune Warriors,Dr DY Patil Sports Academy,did not bat,-,-,0,1170,36.56,133.26,Ms dhoni,CSK
51 (c)(k),45,01/05/2011,1st,4,Deccan Chargers,MA Chidambaram Stadium,st K C Sangakkara b P P Ojha,21,22,95.45,1191,36.09,132.33,Ms dhoni,CSK
52 (c)(k),56,04/05/2011,2nd,-,Rajasthan Royals,MA Chidambaram Stadium,did not bat,-,-,0,1191,36.09,132.33,Ms dhoni,CSK
53 (c)(k),56,07/05/2011,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,0,1191,36.09,132.33,Ms dhoni,CSK
54 (c)(k),46,09/05/2011,1st,4,Rajasthan Royals,Sawai Mansingh Stadium,not out,41*,19,215.79,1232,37.33,134.06,Ms dhoni,CSK
55 (c)(k),47,12/05/2011,1st,5,Delhi Capitals,MA Chidambaram Stadium,not out,63*,31,203.23,1295,39.24,136.32,Ms dhoni,CSK
56 (c)(k),48,05/18/2011,1st,6,Kochi Tuskers Kerala,MA Chidambaram Stadium,c †P A Patel b R A Jadeja,9,6,150,1304,38.35,136.4,Ms dhoni,CSK
57 (c)(k),49,05/22/2011,1st,6,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,70*,40,175,1374,40.41,137.95,Ms dhoni,CSK
58 (c)(k),50,05/24/2011,2nd,5,Royal Challengers Bangalore,Wankhede Stadium,c A Mithun b Z Khan,29,19,152.63,1403,40.09,138.23,Ms dhoni,CSK
59 (c)(k),51,05/28/2011,1st,3,Royal Challengers Bangalore,MA Chidambaram Stadium,c V Kohli b S Aravind,22,13,169.23,1425,39.58,138.62,Ms dhoni,CSK
60 (c)(k),52,04/04/2012,1st,7,Mumbai Indians,MA Chidambaram Stadium,run out,4,6,66.67,1429,38.62,138.2,Ms dhoni,CSK
61 (c)(k),53,07/04/2012,1st,6,Deccan Chargers,Dr YS Rajasekhara Reddy Cricket Stadium,c D J Harris b D W Steyn,7,9,77.78,1436,37.79,137.68,Ms dhoni,CSK
62 (c)(k),54,10/04/2012,1st,7,Delhi Capitals,Arun Jaitley Stadium,c D P M D Jayawardene b M Morkel,11,18,61.11,1447,37.1,136.38,Ms dhoni,CSK
63 (c)(k),55,12/04/2012,2nd,4,Royal Challengers Bangalore,MA Chidambaram Stadium,c sub b Z Khan,41,24,170.83,1488,37.2,137.14,Ms dhoni,CSK
64 (c)(k),56,04/14/2012,1st,4,Pune Warriors,Maharashtra Cricket Association Stadium,c M Kartik b A B Dinda,26,28,92.86,1514,36.93,136.03,Ms dhoni,CSK
65 (c)(k),57,04/19/2012,1st,4,Pune Warriors,MA Chidambaram Stadium,not out,28*,12,233.33,1542,37.61,137.07,Ms dhoni,CSK
66 (c)(k),58,04/21/2012,2nd,4,Rajasthan Royals,MA Chidambaram Stadium,not out,15*,12,125,1557,37.98,136.94,Ms dhoni,CSK
67 (c)(k),56,04/25/2012,2nd,-,Royal Challengers Bangalore,M Chinnaswamy Stadium,did not bat,-,-,0,1557,37.98,136.94,Ms dhoni,CSK
68 (c)(k),59,04/28/2012,2nd,6,Punjab Kings,MA Chidambaram Stadium,run out,1,4,25,1558,37.1,136.55,Ms dhoni,CSK
69 (c)(k),60,04/30/2012,1st,5,Kolkata Knight Riders,MA Chidambaram Stadium,not out,34*,30,113.33,1592,37.9,135.95,Ms dhoni,CSK
70 (c)(k),61,04/05/2012,1st,4,Deccan Chargers,MA Chidambaram Stadium,b D T Christian,34,28,121.43,1626,37.81,135.61,Ms dhoni,CSK
71 (c)(k),62,06/05/2012,1st,5,Mumbai Indians,Wankhede Stadium,c R G Sharma b R P Singh,25,15,166.67,1651,37.52,136,Ms dhoni,CSK
72 (c)(k),63,10/05/2012,2nd,5,Rajasthan Royals,Sawai Mansingh Stadium,c A M Rahane b S K Trivedi,10,16,62.5,1661,36.91,135.04,Ms dhoni,CSK
73 (c)(k),56,12/05/2012,2nd,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,0,1661,36.91,135.04,Ms dhoni,CSK
74 (c)(k),64,05/14/2012,2nd,5,Kolkata Knight Riders,Eden Gardens,b R Bhatia,28,21,133.33,1689,36.72,135.01,Ms dhoni,CSK
75 (c)(k),65,05/17/2012,1st,4,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c N Saini b P Awana,6,16,37.5,1695,36.06,133.78,Ms dhoni,CSK
76 (c)(k),66,05/23/2012,1st,5,Mumbai Indians,M Chinnaswamy Stadium,not out,51*,20,255,1746,37.15,135.66,Ms dhoni,CSK
77 (c)(k),67,05/25/2012,1st,4,Delhi Capitals,MA Chidambaram Stadium,c P Negi b V R Aaron,23,10,230,1769,36.85,136.39,Ms dhoni,CSK
78 (c)(k),68,05/27/2012,1st,4,Kolkata Knight Riders,MA Chidambaram Stadium,not out,14*,9,155.56,1783,37.15,136.52,Ms dhoni,CSK
79 (c)(k),69,06/04/2013,2nd,6,Mumbai Indians,MA Chidambaram Stadium,c K A Pollard b M M Patel,51,26,196.15,1834,37.43,137.69,Ms dhoni,CSK
80 (c)(k),56,10/04/2013,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,0,1834,37.43,137.69,Ms dhoni,CSK
81 (c)(k),70,04/13/2013,2nd,5,Royal Challengers Bangalore,MA Chidambaram Stadium,c †K B A Arun Karthik b R Rampaul,33,23,143.48,1867,37.34,137.79,Ms dhoni,CSK
82 (c)(k),71,04/15/2013,2nd,6,Pune Warriors,MA Chidambaram Stadium,c S P D Smith b A B Dinda,10,13,76.92,1877,36.8,137.21,Ms dhoni,CSK
83 (c)(k),72,04/18/2013,1st,4,Delhi Capitals,Arun Jaitley Stadium,c B M A J Mendis b U T Yadav,44,23,191.3,1921,36.94,138.1,Ms dhoni,CSK
84 (c)(k),73,04/20/2013,2nd,5,Kolkata Knight Riders,Eden Gardens,run out,9,7,128.57,1930,36.42,138.05,Ms dhoni,CSK
85 (c)(k),74,04/22/2013,2nd,4,Rajasthan Royals,MA Chidambaram Stadium,c S T R Binny b J P Faulkner,21,16,131.25,1951,36.13,137.98,Ms dhoni,CSK
86 (c)(k),75,04/25/2013,2nd,4,Sunrisers Hyderabad,MA Chidambaram Stadium,not out,67*,37,181.08,2018,37.37,139.08,Ms dhoni,CSK
87 (c)(k),76,04/28/2013,1st,4,Kolkata Knight Riders,MA Chidambaram Stadium,not out,18*,12,150,2036,37.7,139.17,Ms dhoni,CSK
88 (c)(k),77,04/30/2013,1st,5,Pune Warriors,Maharashtra Cricket Association Stadium,not out,45*,16,281.25,2081,38.54,140.7,Ms dhoni,CSK
89 (c)(k),78,02/05/2013,1st,4,Punjab Kings,MA Chidambaram Stadium,run out,2,2,100,2083,37.87,140.65,Ms dhoni,CSK
90 (c)(k),79,05/05/2013,2nd,7,Mumbai Indians,Wankhede Stadium,c K A Pollard b P P Ojha,10,12,83.33,2093,37.38,140.19,Ms dhoni,CSK
91 (c)(k),80,08/05/2013,1st,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K V Sharma b N L T C Perera,4,3,133.33,2097,36.79,140.17,Ms dhoni,CSK
92 (c)(k),81,12/05/2013,1st,4,Rajasthan Royals,Sawai Mansingh Stadium,c S R Watson b K Cooper,2,3,66.67,2099,36.19,140.03,Ms dhoni,CSK
93 (c)(k),82,05/14/2013,1st,4,Delhi Capitals,MA Chidambaram Stadium,not out,58*,35,165.71,2157,37.19,140.61,Ms dhoni,CSK
94 (c)(k),83,05/18/2013,2nd,5,Royal Challengers Bangalore,M Chinnaswamy Stadium,c J D Unadkat b Z Khan,24,10,240,2181,36.97,141.26,Ms dhoni,CSK
95 (c)(k),56,05/21/2013,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,0,2181,36.97,141.26,Ms dhoni,CSK
96 (c)(k),84,05/26/2013,2nd,7,Mumbai Indians,Eden Gardens,not out,63*,45,140,2244,38.03,141.22,Ms dhoni,CSK
97 (c)(k),85,04/18/2014,1st,4,Punjab Kings,Sheikh Zayed Stadium,c R Dhawan b L Balaji,26,11,236.36,2270,37.83,141.88,Ms dhoni,CSK
98 (c)(k),86,04/21/2014,1st,5,Delhi Capitals,Sheikh Zayed Stadium,c M A Agarwal b J D Unadkat,32,15,213.33,2302,37.74,142.54,Ms dhoni,CSK
99 (c)(k),87,04/23/2014,1st,5,Rajasthan Royals,Dubai International Cricket Stadium,c J P Faulkner b P V Tambe,5,8,62.5,2307,37.21,142.14,Ms dhoni,CSK
100 (c)(k),88,04/25/2014,2nd,5,Mumbai Indians,Dubai International Cricket Stadium,not out,14*,11,127.27,2321,37.44,142.04,Ms dhoni,CSK
101 (c)(k),89,04/27/2014,2nd,4,Sunrisers Hyderabad,Sharjah Cricket Stadium,not out,13*,14,92.86,2334,37.65,141.63,Ms dhoni,CSK
102 (c)(k),90,02/05/2014,1st,4,Kolkata Knight Riders,JSCA International Stadium Complex,not out,22*,17,129.41,2356,38.0,141.5,Ms dhoni,CSK
103 (c)(k),91,05/05/2014,2nd,4,Delhi Capitals,Arun Jaitley Stadium,not out,12*,5,240,2368,38.19,141.8,Ms dhoni,CSK
104 (c)(k),92,07/05/2014,2nd,6,Punjab Kings,Barabati Stadium,c G J Bailey b M G Johnson,23,20,115,2391,37.95,141.48,Ms dhoni,CSK
105 (c)(k),93,10/05/2014,2nd,5,Mumbai Indians,Wankhede Stadium,not out,22*,12,183.33,2413,38.3,141.77,Ms dhoni,CSK
106 (c)(k),94,05/13/2014,2nd,6,Rajasthan Royals,JSCA International Stadium Complex,not out,26*,16,162.5,2439,38.71,141.97,Ms dhoni,CSK
107 (c)(k),95,05/18/2014,1st,5,Royal Challengers Bangalore,JSCA International Stadium Complex,c C H Gayle b A N Ahmed,7,6,116.67,2446,38.22,141.88,Ms dhoni,CSK
108 (c)(k),96,05/20/2014,1st,5,Kolkata Knight Riders,Eden Gardens,not out,21*,15,140,2467,38.55,141.86,Ms dhoni,CSK
109 (c)(k),97,05/22/2014,1st,5,Sunrisers Hyderabad,JSCA International Stadium Complex,not out,57*,41,139.02,2524,39.44,141.8,Ms dhoni,CSK
110 (c)(k),98,05/24/2014,2nd,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,not out,49*,28,175,2573,40.2,142.31,Ms dhoni,CSK
111 (c)(k),56,05/28/2014,2nd,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,0,2573,40.2,142.31,Ms dhoni,CSK
112 (c)(k),99,05/30/2014,2nd,7,Punjab Kings,Wankhede Stadium,not out,42*,31,135.48,2615,40.86,142.2,Ms dhoni,CSK
113 (c)(k),100,09/04/2015,1st,6,Delhi Capitals,MA Chidambaram Stadium,c M A Agarwal b N M Coulter-Nile,30,27,111.11,2645,40.69,141.75,Ms dhoni,CSK
114 (c)(k),101,11/04/2015,1st,4,Sunrisers Hyderabad,MA Chidambaram Stadium,c D A Warner b T A Boult,53,29,182.76,2698,40.88,142.37,Ms dhoni,CSK
115 (c)(k),102,04/17/2015,2nd,5,Mumbai Indians,Wankhede Stadium,c & b K A Pollard,3,6,50,2701,40.31,142.08,Ms dhoni,CSK
116 (c)(k),103,04/19/2015,1st,6,Rajasthan Royals,Narendra Modi Stadium,not out,31*,37,83.78,2732,40.78,140.97,Ms dhoni,CSK
117 (c)(k),104,04/22/2015,1st,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b Y S Chahal,13,13,100,2745,40.37,140.7,Ms dhoni,CSK
118 (c)(k),105,04/25/2015,1st,4,Punjab Kings,MA Chidambaram Stadium,not out,41*,27,151.85,2786,40.97,140.85,Ms dhoni,CSK
119 (c)(k),106,04/28/2015,1st,5,Kolkata Knight Riders,MA Chidambaram Stadium,c †R V Uthappa b A D Russell,3,6,50,2789,40.42,140.57,Ms dhoni,CSK
120 (c)(k),107,04/30/2015,1st,6,Kolkata Knight Riders,Eden Gardens,b P P Chawla,1,4,25,2790,39.86,140.34,Ms dhoni,CSK
121 (c)(k),108,02/05/2015,2nd,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b A Ashish Reddy,20,16,125,2810,39.58,140.22,Ms dhoni,CSK
122 (c)(k),109,04/05/2015,1st,5,Royal Challengers Bangalore,MA Chidambaram Stadium,c M A Starc b D Wiese,29,18,161.11,2839,39.43,140.41,Ms dhoni,CSK
123 (c)(k),110,08/05/2015,1st,5,Mumbai Indians,MA Chidambaram Stadium,not out,39*,32,121.88,2878,39.97,140.12,Ms dhoni,CSK
124 (c)(k),111,10/05/2015,1st,6,Rajasthan Royals,MA Chidambaram Stadium,not out,13*,7,185.71,2891,40.15,140.27,Ms dhoni,CSK
125 (c)(k),112,12/05/2015,1st,5,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,c S Nadeem b Z Khan,27,24,112.5,2918,39.97,139.95,Ms dhoni,CSK
126 (c)(k),113,05/16/2015,2nd,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,25*,16,156.25,2943,40.32,140.08,Ms dhoni,CSK
127 (c)(k),114,05/19/2015,2nd,5,Mumbai Indians,Wankhede Stadium,lbw b Harbhajan Singh,0,1,0,2943,39.77,140.01,Ms dhoni,CSK
128 (c)(k),115,05/22/2015,2nd,5,Royal Challengers Bangalore,JSCA International Stadium Complex,c †K D Karthik b H V Patel,26,29,89.66,2969,39.59,139.32,Ms dhoni,CSK
129 (c)(k),116,05/24/2015,2nd,4,Mumbai Indians,Eden Gardens,b S L Malinga,18,13,138.46,2987,39.3,139.32,Ms dhoni,CSK
130 (c)(k),56,09/04/2016,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,0,2987,39.3,139.32,Ms dhoni,CSK
131 (c)(k),117,04/14/2016,1st,5,Gujarat Lions,Saurashtra Cricket Association Stadium,not out,22*,10,220,3009,39.59,139.69,Ms dhoni,CSK
132 (c)(k),118,04/17/2016,1st,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c G J Maxwell b M M Sharma,1,2,50,3010,39.09,139.61,Ms dhoni,CSK
133 (c)(k),119,04/22/2016,2nd,5,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,c A B de Villiers b H V Patel,41,38,107.89,3051,39.12,139.06,Ms dhoni,CSK
134 (c)(k),120,04/24/2016,1st,6,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,not out,23*,12,191.67,3074,39.41,139.35,Ms dhoni,CSK
135 (c)(k),121,04/26/2016,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c A P Tare b A Nehra,5,4,125,3079,38.97,139.32,Ms dhoni,CSK
136 (c)(k),122,04/29/2016,1st,4,Gujarat Lions,Maharashtra Cricket Association Stadium,not out,30*,18,166.67,3109,39.35,139.54,Ms dhoni,CSK
137 (c)(k),123,01/05/2016,1st,5,Mumbai Indians,Maharashtra Cricket Association Stadium,c A T Rayudu b J J Bumrah,24,24,100,3133,39.16,139.12,Ms dhoni,CSK
138 (c)(k),124,05/05/2016,2nd,4,Delhi Capitals,Arun Jaitley Stadium,c S W Billings b Imran Tahir,27,20,135,3160,39.01,139.08,Ms dhoni,CSK
139 (c)(k),125,07/05/2016,1st,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,c Parvez Rasool b S R Watson,9,8,112.5,3169,38.65,138.99,Ms dhoni,CSK
140 (c)(k),126,10/05/2016,2nd,6,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,run out,30,20,150,3199,38.54,139.09,Ms dhoni,CSK
141 (c)(k),127,05/14/2016,1st,6,Kolkata Knight Riders,Eden Gardens,not out,8*,22,36.36,3207,38.64,138.11,Ms dhoni,CSK
142 (c)(k),56,05/17/2016,2nd,-,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,0,3207,38.64,138.11,Ms dhoni,CSK
143 (c)(k),128,05/21/2016,2nd,5,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,not out,64*,32,200,3271,39.41,138.95,Ms dhoni,CSK
144 (k),129,06/04/2017,2nd,5,Mumbai Indians,Maharashtra Cricket Association Stadium,not out,12*,12,100,3283,39.55,138.76,Ms dhoni,CSK
145 (k),130,08/04/2017,1st,5,Punjab Kings,Holkar Cricket Stadium,c & b Swapnil Singh,5,11,45.45,3288,39.14,138.33,Ms dhoni,CSK
146 (k),131,11/04/2017,2nd,6,Delhi Capitals,Maharashtra Cricket Association Stadium,c K K Nair b A Mishra,11,14,78.57,3299,38.81,137.98,Ms dhoni,CSK
147 (k),132,04/14/2017,1st,6,Gujarat Lions,Saurashtra Cricket Association Stadium,lbw b R A Jadeja,5,8,62.5,3304,38.42,137.72,Ms dhoni,CSK
148 (k),133,04/16/2017,1st,4,Royal Challengers Bangalore,M Chinnaswamy Stadium,b S R Watson,28,25,112,3332,38.3,137.46,Ms dhoni,CSK
149 (k),134,04/22/2017,2nd,4,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,not out,61*,34,179.41,3393,39.0,138.04,Ms dhoni,CSK
150 (k),135,04/24/2017,1st,4,Mumbai Indians,Wankhede Stadium,b J J Bumrah,7,11,63.64,3400,38.64,137.71,Ms dhoni,CSK
151 (k),136,04/26/2017,1st,4,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,st R V Uthappa b Kuldeep Yadav,23,11,209.09,3423,38.46,138.02,Ms dhoni,CSK
152 (k),137,04/29/2017,1st,5,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,not out,21*,17,123.53,3444,38.7,137.93,Ms dhoni,CSK
153 (k),138,01/05/2017,2nd,6,Gujarat Lions,Maharashtra Cricket Association Stadium,c B B McCullum b Basil Thampi,26,33,78.79,3470,38.56,137.15,Ms dhoni,CSK
154 (k),139,03/05/2017,2nd,6,Kolkata Knight Riders,Eden Gardens,c †S P Jackson b Kuldeep Yadav,5,9,55.56,3475,38.19,136.86,Ms dhoni,CSK
155 (k),140,06/05/2017,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b S Kaul,31,21,147.62,3506,38.11,136.95,Ms dhoni,CSK
156 (k),141,12/05/2017,2nd,6,Delhi Capitals,Arun Jaitley Stadium,run out,5,5,100,3511,37.75,136.88,Ms dhoni,CSK
157 (k),56,05/14/2017,2nd,-,Punjab Kings,Maharashtra Cricket Association Stadium,did not bat,-,-,0,3511,37.75,136.88,Ms dhoni,CSK
158 (k),142,05/16/2017,1st,5,Mumbai Indians,Wankhede Stadium,not out,40*,26,153.85,3551,38.18,137.05,Ms dhoni,CSK
159 (k),143,05/21/2017,2nd,4,Mumbai Indians,Rajiv Gandhi International Stadium,c †P A Patel b J J Bumrah,10,13,76.92,3561,37.88,136.75,Ms dhoni,CSK
160 (c)(k),144,07/04/2018,2nd,5,Mumbai Indians,Wankhede Stadium,lbw b M Markande,5,5,100,3566,37.54,136.68,Ms dhoni,CSK
161 (c)(k),145,10/04/2018,2nd,4,Kolkata Knight Riders,MA Chidambaram Stadium,c †K D Karthik b P P Chawla,25,28,89.29,3591,37.41,136.18,Ms dhoni,CSK
162 (c)(k),146,04/15/2018,2nd,5,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,79*,44,179.55,3670,38.23,136.89,Ms dhoni,CSK
163 (c)(k),147,04/20/2018,1st,4,Rajasthan Royals,Maharashtra Cricket Association Stadium,c K Gowtham b S Gopal,5,3,166.67,3675,37.89,136.92,Ms dhoni,CSK
